susid,category,name,addy1,addy2,city,state,zip,lat,lon,phone,website,industry
100001,fairtrade,"Mayorga Organics, LLC.",BWI,Concourse A/B,Baltimore,MD,21240,39.179945,-76.671562,(410) 859-1966,https://mayorgaorganics.com/,"Cafe, Coffee Shop"
100002,fairtrade,Peregrine Espresso,660 Pennsylvania Ave SE,,Washington,DC,20003,38.885148,-76.996409,202-629-4381,http://peregrineespresso.com/,"Cafe, Coffee Shop"
100003,fairtrade,Peregrine Espresso,1718 14th St NW,,Washington,DC,20009,38.913294,-77.03219,202-525-5127,http://peregrineespresso.com/,"Cafe, Coffee Shop"
100004,fairtrade,Peregrine Espresso,1309 5th St NE,,Washington,DC,20002,38.908433,-76.997232,202-543-5459,http://peregrineespresso.com/,"Cafe, Coffee Shop"
100005,fairtrade,Ten Thousand Villages,"915 King St, Alexandria, VA",,Alexandria,VA,22314,38.8127321,-77.0497694,(703) 684-1435,https://www.tenthousandvillages.com/alexandria#fndtn-home,"Crafts, Housewares, Gift shop"
100006,fairtrade,"Trade Roots, Fair Trade Gift and Coffee Shop",5852 Washington Blvd,,Arlington,VA,22205,38.885117,-77.1436747,(571) 335-4274,https://www.fairtraderoots.com/,"Gift Shop, Cafe, Coffee Shop, Accessories, Jewelry, Home Decor"
100007,fairtrade,Fair Trade Winds,2920 District Ave,#160,Fairfax,VA,22031,38.871162,-77.2327288,(703) 877-0577,https://www.fairtradewinds.net/,"Gift Shop, Crafts, Clothing"
100008,fairtrade,Indus Imports,1213 King Street,,Alexandria,VA,22314,38.8059868,-77.0550833,(703) 349-1115,https://indusimports.wordpress.com/,"Rugs, Clothing, Crafts, Art"
100009,fairtrade,Qualia Coffee,3917 Georgia Ave NW ,,Washington,DC,20011,38.9391872,-77.02673,(202) 248-6423,https://www.qualiacoffee.com/,"Coffee Roaster, Coffee Shop, Cafe"
100010,fairtrade,Qualia Coffee,Eckington Pl NE & Harry Thomas Way NE,,Washington,DC,20002,38.910581,-77.0071257,(202) 248-6424,https://www.qualiacoffee.com/,"Coffee Roaster, Coffee Shop, Cafe"
100011,fairtrade,Compass Coffee,1921 8th St NW,#100,Washington,DC,20001,38.9162901,-77.0248554,(202) 838-3139,http://www.compasscoffee.com/,"Coffee Roaster, Coffee Shop, Cafe, Artisan Brews"
