Organization,Street Address Line One,Street Address Line Two,City,State,Zip,Latitude,Longitude,Phone,Website,Industry
"Mayorga Organics, LLC.",BWI,Concourse A/B,Baltimore,MD,21240,39.179945,-76.671562,(410) 859-1966,https://mayorgaorganics.com/,"Cafe, Coffee Shop"
Peregrine Espresso,660 Pennsylvania Ave SE,,Washington,DC,20003,38.885148,-76.996409,202-629-4381,http://peregrineespresso.com/,"Cafe, Coffee Shop"
Peregrine Espresso,1718 14th St NW,,Washington,DC,20009,38.913294,-77.03219,202-525-5127,http://peregrineespresso.com/,"Cafe, Coffee Shop"
Peregrine Espresso,1309 5th St NE,,Washington,DC,20002,38.908433,-76.997232,202-543-5459,http://peregrineespresso.com/,"Cafe, Coffee Shop"
Ten Thousand Villages,"915 King St, Alexandria, VA",,Alexandria,VA,22314,38.8127321,-77.0497694,(703) 684-1435,https://www.tenthousandvillages.com/alexandria#fndtn-home,"Crafts, Housewares, Gift shop"
"Trade Roots, Fair Trade Gift and Coffee Shop",5852 Washington Blvd,,Arlington,VA,22205,38.885117,-77.1436747,(571) 335-4274,https://www.fairtraderoots.com/,"Gift Shop, Cafe, Coffee Shop, Accessories, Jewelry, Home Decor"
Fair Trade Winds,2920 District Ave,#160,Fairfax,VA,22031,38.871162,-77.2327288,(703) 877-0577,https://www.fairtradewinds.net/,"Gift Shop, Crafts, Clothing"
Indus Imports,1213 King Street,,Alexandria,VA,22314,38.8059868,-77.0550833,(703) 349-1115,https://indusimports.wordpress.com/,"Rugs, Clothing, Crafts, Art"
Qualia Coffee,3917 Georgia Ave NW,,Washington,DC,20011,38.9391872,-77.02673,(202) 248-6423,https://www.qualiacoffee.com/,"Coffee Roaster, Coffee Shop, Cafe"
Qualia Coffee,Eckington Pl NE & Harry Thomas Way NE,,Washington,DC,20002,38.910581,-77.0071257,(202) 248-6424,https://www.qualiacoffee.com/,"Coffee Roaster, Coffee Shop, Cafe"
Compass Coffee,1921 8th St NW,#100,Washington,DC,20001,38.9162901,-77.0248554,(202) 838-3139,http://www.compasscoffee.com/,"Coffee Roaster, Coffee Shop, Cafe, Artisan Brews"
Compass Coffee,1535 7th St NW,,Washington,DC,20001,38.9105847,-77.0237647,(202) 838-3139,http://www.compasscoffee.com/,"Coffee Roaster, Coffee Shop, Cafe, Artisan Brews"
Compass Coffee,801 Mt Vernon Pl NW,,Washington,DC,20001,38.9071422,-77.0267261,,http://www.compasscoffee.com/,"Coffee Roaster, Coffee Shop, Cafe, Artisan Brews"
Compass Coffee,1401 Eye St NW,,Washington,DC,20005,38.9016789,-77.0410546,(202) 838-3139,http://www.compasscoffee.com/,"Coffee Roaster, Coffee Shop, Cafe, Artisan Brews"
Compass Coffee,1776 I St NW,,Washington,DC,20006,38.9016783,-77.0410546,(202) 838-3139,http://www.compasscoffee.com/,"Coffee Roaster, Coffee Shop, Cafe, Artisan Brews"
Compass Coffee,650 F St NW,,Washington,DC,20004,38.8971514,-77.0210724,(202) 838-3139,http://www.compasscoffee.com/,"Coffee Roaster, Coffee Shop, Cafe, Artisan Brews"
Yes! Organic Market,3425 Connecticut Ave NW,,Washington,DC,20008,38.9351654,-77.0599436,(202) 363-1559,http://www.yesorganicmarket.com/,"Grocery, Supermarket, Market"
Yes! Organic Market,4100 Georgia Ave NW,,Washington,DC,20011,38.9121801,-77.0482763,(202) 291-5790,http://www.yesorganicmarket.com/,"Grocery, Supermarket, Market"
Yes! Organic Market,3809 12th St NE,,Washington,DC,20017,38.936808,-76.9927712,(202) 832-7715,http://www.yesorganicmarket.com/,"Grocery, Supermarket, Market"
Yes! Organic Market,1825 Columbia Rd NW,,Washington,DC,20009,38.92178,-77.0458907,(202) 462-2069,http://www.yesorganicmarket.com/,"Grocery, Supermarket, Market"
Yes! Organic Market,2123 14th St NW,,Washington,DC,20009,38.9185218,-77.0403521,(202) 232-6603,http://www.yesorganicmarket.com/,"Grocery, Supermarket, Market"
Yes! Organic Market,410 8th St SE,,Washington,DC,20003,38.8833919,-76.9969561,(202) 546-4325,http://www.yesorganicmarket.com/,"Grocery, Supermarket, Market"
Pua Naturally,701 Pennsylvania Ave NW,,Washington,DC,20004,38.894404,-77.022079,(202) 347-4543,https://www.puanaturally.com/,"Clothing, Upscale, Women's Clothing, Jewelery, Accessories"
Urban Dwell,1837 Columbia Rd NW,,Washington,DC,20009,38.921561,-77.04398,(202) 558-9087,http://www.urbandwelldc.com/,"Home Decor, Kitchen & Bath, Fashion"
Cost Plus World Market,5335 Wisconsin Ave NW,,Washington,DC,20015,38.960603,-77.084701,(202) 244-8720,https://www.worldmarket.com/,"Home Decor, Beer and Wine, Chocolate, Tea, Coffee, Furniture, Art"
Cost Plus World Market,1301 South Joyce Street,Suite D22,Arlington,VA,22202,38.862861,-77.063345,(703) 415-7575,https://www.worldmarket.com/,"Home Decor, Beer and Wine, Chocolate, Tea, Coffee, Furniture, Art"
Cost Plus World Market,3532 S Jefferson St,,Falls Church,VA,22041,38.848775,-77.120434,(703) 933-2100,https://www.worldmarket.com/,"Home Decor, Beer and Wine, Chocolate, Tea, Coffee, Furniture, Art"
The Potter's House,1658 Columbia Rd NW,,Washington,DC,20009,38.92498,-77.03869,(202) 232-5483,http://pottershousedc.org/,"Coffee and Tea, Bookstore, Cafe, Community Events"
Brilliant Earth,3332 Cady's Alley NW,,Washington,DC,20007,38.9046031,-77.0691692,(202) 448-9055,https://www.brilliantearth.com/our-movement/,"Jewelry, Engagement Rings, Diamonds"
Middle East Books and More,1902 18 St NW,,Washington,DC,20009,38.9158356,-77.044128,(202) 939-6050,https://www.middleeastbooks.com/,"Bookstore, Toys, Kitchen, Bath Products"
Kashmir Imports,50 Massachusetts Ave NE,,Washington,DC,20002,38.8980977,-77.0090044,(202) 789-8880,http://www.kashmirboutiques.com/,"Clothing, Upscale, Women's Clothing, Jewelery, Accessories"
